Kinase/Phosphotase	Type
YCK2	Kinase Catalytic
CBK1	Kinase Catalytic
NPR1	Kinase Catalytic
RIO2	Kinase Catalytic
CLA4	Kinase Catalytic
MCK1	Kinase Catalytic
SSK2	Kinase Catalytic
FPK1	Kinase Catalytic
CMK2	Kinase Catalytic
PSK2	Kinase Catalytic
PKH2	Kinase Catalytic
SKM1	Kinase Catalytic
YGK3	Kinase Catalytic
CKA2	Kinase Catalytic
RIO1	Kinase Catalytic
MKK1	Kinase Catalytic
KIN4	Kinase Catalytic
HRK1	Kinase Catalytic
MEK1	Kinase Catalytic
SKS1	Kinase Catalytic
PHO85	Kinase Catalytic
SSN3	Kinase Catalytic
YPL109C	Kinase Catalytic
MKK2	Kinase Catalytic
YPL141C	Kinase Catalytic
YPL150W	Kinase Catalytic
RAD53	Kinase Catalytic
TPK2	Kinase Catalytic
HRR25	Kinase Catalytic
IPL1	Kinase Catalytic
SMK1	Kinase Catalytic
ISR1	Kinase Catalytic
DBF20	Kinase Catalytic
SGV1	Kinase Catalytic
CDC19	Kinase Metabolic/Lipid
PGK1	Kinase Metabolic/Lipid
EKI1	Kinase Metabolic/Lipid
MSS4	Kinase Metabolic/Lipid
ADK1	Kinase Metabolic/Lipid
PRO1	Kinase Metabolic/Lipid
GUK1	Kinase Metabolic/Lipid
DAK2	Kinase Metabolic/Lipid
FAB1	Kinase Metabolic/Lipid
GUT1	Kinase Metabolic/Lipid
THR1	Kinase Metabolic/Lipid
CDC8	Kinase Metabolic/Lipid
MET14	Kinase Metabolic/Lipid
URA6	Kinase Metabolic/Lipid
CKI1	Kinase Metabolic/Lipid
VPS34	Kinase Metabolic/Lipid
LCB5	Kinase Metabolic/Lipid
STT4	Kinase Metabolic/Lipid
VIP1	Kinase Metabolic/Lipid
DAK1	Kinase Metabolic/Lipid
ERG12	Kinase Metabolic/Lipid
PIK1	Kinase Metabolic/Lipid
URK1	Kinase Metabolic/Lipid
LCB4	Kinase Metabolic/Lipid
CDC24	Other
RTG3	Other
RXT2	Other
CDC10	Other
SIR2	Other
TPS2	Other
ADR1	Other
PAM1	Other
RAD51	Other
RSP5	Other
BCK2	Other
BMH1	Other
RTG2	Other
TWF1	Other
ASK10	Other
STE12	Other
TID3	Other
PAN1	Other
NET1	Other
FAR1	Other
GRR1	Other
MGM101	Other
ALY1	Other
SFI1	Other
PUF3	Other
SSK1	Other
SIC1	Other
BUL2	Other
HOT1	Other
DOM34	Other
MKS1	Other
TEP1	Other
YNL217W	Other
RLM1	Other
GIP3	Other
YPR115W	Other
SAP155	Phosphatase Associated
CDC55	Phosphatase Associated
SAP4	Phosphatase Associated
RTS3	Phosphatase Associated
PIG2	Phosphatase Associated
SAP185	Phosphatase Associated
RTS1	Phosphatase Associated
PTC3	Phosphatase Catalytic
PTC4	Phosphatase Catalytic
PTC6	Phosphatase Catalytic
PTC1	Phosphatase Catalytic
SIT4	Phosphatase Catalytic
PPH21	Phosphatase Catalytic
PPH22	Phosphatase Catalytic
PTP1	Phosphatase Catalytic
PPZ2	Phosphatase Catalytic
PTP3	Phosphatase Catalytic
PTC2	Phosphatase Catalytic
GLC7	Phosphatase Catalytic
CDC14	Phosphatase Catalytic
PPT1	Phosphatase Catalytic
YGR203W	Phosphatase Catalytic
PTC7	Phosphatase Catalytic
SDP1	Phosphatase Catalytic
YVH1	Phosphatase Catalytic
PSR2	Phosphatase Catalytic
CNA1	Phosphatase Catalytic
PPZ1	Phosphatase Catalytic
CMP2	Phosphatase Catalytic
MIH1	Phosphatase Catalytic
MSG5	Phosphatase Catalytic
OCA1	Phosphatase Catalytic
SSU72	Phosphatase Catalytic
PPG1	Phosphatase Catalytic
PTC5	Phosphatase Catalytic
PTP2	Phosphatase Catalytic
PPQ1	Phosphatase Catalytic
PHO5	Phosphatase Metabolic/Lipid
PHO12	Phosphatase Metabolic/Lipid
INP51	Phosphatase Metabolic/Lipid
YMR1	Phosphatase Metabolic/Lipid
INP53	Phosphatase Metabolic/Lipid
